mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax
93.3751,90.4666,76.5214,119.029,109.659,44.8706
83.9545,92.4566,75.1372,110.819,103.817,42.6914
91.1628,90.1901,76.4319,116.693,107.949,43.8565
73.9989,90.7968,68.3824,94.6879,90.0049,36.0858
93.3212,90.4457,75.4089,117.236,108.018,44.1874
93.7572,94.3227,70.3394,113.284,104.277,44.5342
92.0926,89.8562,35.8565,54.9821,50.7755,20.5862
91.1402,103.043,35.3955,60.2294,55.7179,25.8601
91.3017,89.9193,48.4057,73.8299,68.28,27.6618
92.6834,91.8514,76.659,119.896,110.595,45.8861
91.4161,83.1874,60.0435,87.4636,80.9179,30.3339
94.7006,122.781,48.4884,114.656,105.352,58.6566
84.3954,89.4963,49.2723,71.4892,66.9235,26.6584
92.0233,96.6036,61.613,99.6495,92.0333,40.1105
94.6593,92.8109,70.4788,115.585,105.928,45.3565
85.4283,91.3899,68.5886,104.597,97.3902,40.8159
90.9696,91.0386,77.672,119.16,110.269,45.2009
94.4035,91.5072,54.8606,86.7481,79.7603,33.0793
90.3791,89.6301,79.231,119.793,110.975,44.738
88.2226,91.6017,78.0467,118.779,110.358,45.6109
92.0559,94.6261,65.2783,103.87,95.9253,40.9533
92.3455,95.0906,41.0296,65.694,60.6364,26.0287
90.8238,91.5582,73.643,113.295,104.869,43.2211
92.2712,91.0358,44.9668,69.663,64.3097,26.4246
90.0801,95.5151,75.9481,119.896,111.12,47.7455
92.5914,89.6629,75.4737,115.992,107.02,43.3373
92.6416,91.8104,45.1249,70.5328,65.0667,26.9836
87.9029,94.1808,23.4074,35.9299,33.4334,14.0996
105.136,92.3688,67.7347,119.428,107.474,46.0982
76.2036,90.5481,23.9214,33.2602,31.5393,12.5485
93.1351,91.9559,35.245,55.3653,51.0272,21.2135
90.9507,98.6358,26.5594,43.3134,40.0829,17.8011
87.3019,89.6889,18.4465,27.3116,25.4408,10.2064
107.273,94.0486,59.8026,109.687,98.2701,43.0485
97.8208,90.6819,62.2594,100.543,91.8536,38.0063
